Region,ABM-11-M,ABM-11-F,HUMSS-11-M,HUMSS-11-F,STEM-11-M,STEM-11-F,GAS-11-M,GAS-11-F,MARITIME-11-M,MARITIME-11-F,TVL-11-M,TVL-11-F,Sports-11-M,Sports-11-F,Arts&Design-11-M,Arts&Design-11-F,ABM-12-M,ABM-12-F,HUMSS-12-M,HUMSS-12-F,STEM-12-M,STEM-12-F,GAS-12-M,GAS-12-F,MARITIME-12-M,MARITIME-12-F,TVL-12-M,TVL-12-F,Sports-12-M,Sports-12-F,Arts&Design-12-M,Arts&Design-12-F,Sector,A.Y,Academic Track 11 M,Academic Track 11 F,Grand Total 11 M,Grand Total 11 F,Academic Track 12 M,Academic Track 12 F,Grand Total 12 M,Grand Total 12 F
CAR - Cordillera Administrative Region,547,1396,2109,2504,2151,2392,384,389,0,0,1520,1076,24,13,18,30,628,1576,1389,1771,1879,2248,501,512,0,0,1420,1021,11,5,18,33,Private,2018-2019,5191,6681,6753,7800,4397,6107,5846,7166
NCR - National Capital Region,14293,26480,12219,16220,20816,16774,7283,7337,488,23,21546,17515,333,167,664,1185,12353,23154,6754,10552,17745,13651,6924,7084,247,10,18480,16418,146,78,471,857,Private,2018-2019,55099,66834,77642,85701,44023,54451,63120,71804
Region I - Ilocos Region,43,124,142,176,220,345,29,27,0,0,319,249,0,0,8,11,132,421,241,479,450,638,42,66,0,0,562,531,0,0,5,3,SUCsLUCs,2018-2019,434,672,761,932,865,1604,1432,2138
Region II - Cagayan Valley,0,0,0,0,26,50,0,0,0,0,47,56,0,0,0,0,15,55,17,33,65,101,12,25,0,0,88,94,3,3,0,0,SUCsLUCs,2018-2019,26,50,73,106,109,214,200,311
Region III - Central Luzon,170,428,186,361,506,441,107,193,0,0,526,420,4,4,0,0,217,598,220,428,702,633,181,248,0,0,692,508,0,0,0,0,SUCsLUCs,2018-2019,969,1423,1499,1847,1320,1907,2012,2415
Region IV-A - CALABARZON,138,459,246,477,660,647,34,14,0,0,339,193,0,0,0,0,121,387,123,287,475,465,51,130,0,0,337,195,0,0,0,0,SUCsLUCs,2018-2019,1078,1597,1417,1790,770,1269,1107,1464
Region IV-B - MIMAROPA,127,403,160,335,294,346,49,70,0,0,480,364,0,0,0,0,154,438,191,303,234,284,32,77,0,0,420,258,0,0,0,0,SUCsLUCs,2018-2019,630,1154,1110,1518,611,1102,1031,1360
Region V - Bicol Region,48,127,99,172,163,185,37,83,0,0,200,103,0,0,0,0,60,133,62,128,117,149,53,97,0,0,236,99,0,0,0,0,SUCsLUCs,2018-2019,347,567,547,670,292,507,528,606
Region VI - Western Visayas,56,149,90,176,196,265,15,36,0,0,315,262,0,0,0,0,55,253,102,281,378,523,66,118,0,0,700,643,0,0,0,0,SUCsLUCs,2018-2019,357,626,672,888,601,1175,1301,1818
Region VII - Central Visayas,20,111,61,150,171,197,29,41,49,0,189,202,0,0,0,0,23,89,68,162,130,129,40,68,39,2,616,675,0,0,0,0,SUCsLUCs,2018-2019,330,499,519,701,300,450,916,1125
Region VIII - Eastern Visayas,63,176,94,161,238,284,25,47,0,0,92,86,0,0,0,0,76,302,146,385,520,379,56,120,0,0,426,372,0,0,0,0,SUCsLUCs,2018-2019,420,668,512,754,798,1186,1224,1558
Region IX - Zamboanga Peninsula,73,190,163,272,127,226,77,134,33,0,535,323,0,0,0,0,55,136,110,174,183,224,103,224,55,0,345,292,17,12,0,0,SUCsLUCs,2018-2019,473,822,1008,1145,506,758,868,1062
Region X - Northern Mindanao,90,226,106,156,350,473,78,197,0,0,136,193,0,0,0,0,94,352,189,422,671,918,152,265,0,0,632,506,0,0,0,0,SUCsLUCs,2018-2019,624,1052,760,1245,1106,1957,1738,2463
Region XI - Davao Region,17,30,0,0,0,0,20,66,0,0,16,11,0,0,0,0,20,87,8,31,8,27,13,52,0,0,32,39,0,0,0,0,SUCsLUCs,2018-2019,37,96,53,107,49,197,81,236
Region XII - Soccsksargen,27,67,146,203,230,265,56,52,0,0,28,20,0,0,0,0,20,58,54,129,125,186,73,88,0,0,112,43,0,0,0,0,SUCsLUCs,2018-2019,459,587,487,607,272,461,384,504
CARAGA - CARAGA,0,0,0,0,72,110,0,0,0,0,42,53,0,0,0,0,0,0,2,40,106,118,0,0,0,0,147,104,0,0,0,0,SUCsLUCs,2018-2019,72,110,114,163,108,158,255,262
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,119,162,128,247,271,515,171,279,0,0,194,235,6,23,0,0,71,112,97,195,272,485,99,164,0,0,155,162,12,4,0,0,SUCsLUCs,2018-2019,689,1203,889,1461,539,956,706,1122
CAR - Cordillera Administrative Region,18,79,183,290,159,184,20,39,0,0,360,241,0,0,0,0,8,69,142,250,116,148,17,27,0,0,298,239,0,0,0,0,SUCsLUCs,2018-2019,380,592,740,833,283,494,581,733
NCR - National Capital Region,632,1756,598,1122,1241,1187,92,198,0,0,1425,1083,50,20,70,156,781,2683,612,1532,1783,1800,142,326,0,0,1709,1385,62,24,110,220,SUCsLUCs,2018-2019,2563,4263,4108,5522,3318,6341,5199,7970
Region I - Ilocos Region,1298,3817,6076,6782,3099,3600,6392,6175,0,0,15419,11222,0,0,136,107,1107,3451,4008,5038,2603,2727,6957,6868,0,0,13240,10365,0,0,99,75,Public,2019-2020,16865,20374,32420,31703,14675,18084,28014,28524
Region II - Cagayan Valley,832,2055,4841,5372,2090,2650,4356,4481,0,0,7701,5796,143,98,85,84,800,2317,3267,3717,1874,1963,4327,4877,0,0,6846,5518,70,44,71,71,Public,2019-2020,12119,14558,20048,20536,10268,12874,17255,18507
Region III - Central Luzon,3075,7265,8219,10645,4784,4508,8831,8350,65,9,21808,14774,77,44,83,86,2936,6674,4911,7007,3685,3250,8994,8682,75,7,19427,13793,124,62,52,63,Public,2019-2020,24974,30777,46942,45681,20601,25620,40204,39538
Region IV-A - CALABARZON,4195,9425,12195,14674,4531,4281,4200,4666,66,12,22651,14912,187,69,254,258,3670,8569,8000,10181,3561,3415,5227,5666,44,4,20660,14522,134,55,191,220,Public,2019-2020,25187,33058,48279,48297,20502,27835,41487,42632
Region IV-B - MIMAROPA,773,1801,3772,4554,1512,1641,4733,5930,0,0,8090,6303,117,66,134,118,645,1696,2105,2737,1244,1307,4805,5788,0,0,6483,5738,72,52,87,97,Public,2019-2020,10790,13926,19131,20413,8799,11528,15441,17415
Region V - Bicol Region,1174,3310,2760,4279,1974,2358,13555,18341,29,8,19319,14715,113,59,232,308,1259,3275,1828,3179,1718,1939,12088,17059,33,7,17345,13781,80,41,226,271,Public,2019-2020,19492,28296,39156,43378,16926,25459,34577,39552
Region VI - Western Visayas,1673,5040,10299,14679,2684,3613,6544,6798,0,0,25990,18641,114,52,98,133,1403,4832,7002,10638,2346,2710,6582,6616,0,0,21490,16196,55,66,91,136,Public,2019-2020,21200,30130,47402,48956,17333,24796,38969,41194
Region VII - Central Visayas,1291,3502,4960,7942,1928,2400,10836,12482,14,1,20699,15373,88,64,162,161,1085,3070,3536,5996,1651,1954,9160,10879,26,5,17685,13731,76,55,80,117,Public,2019-2020,19029,26327,39978,41925,15458,21904,33299,35807
Region VIII - Eastern Visayas,1068,2576,5965,8073,1448,1614,7654,9276,0,0,15144,11819,49,48,35,63,1028,2196,4180,6282,1313,1177,6989,8559,0,0,13109,10525,64,50,16,21,Public,2019-2020,16135,21539,31363,33469,13510,18214,26699,28810
Region IX - Zamboanga Peninsula,570,1652,2818,5055,990,1548,1357,1856,0,0,12109,10464,19,12,80,84,489,1486,2297,3960,860,1152,1444,1952,0,0,9540,8234,19,29,48,59,Public,2019-2020,5735,10111,17943,20671,5090,8550,14697,16872
Region X - Northern Mindanao,834,2462,3826,5840,1188,1549,3432,4656,0,0,11882,8085,110,81,45,58,812,2391,2949,4408,927,1135,3199,4439,0,0,9710,7093,88,56,59,80,Public,2019-2020,9280,14507,21317,22731,7887,12373,17744,19602
Region XI - Davao Region,574,1577,2554,4083,815,1149,3666,5209,0,0,12757,10232,5,2,61,78,541,1528,1818,3111,753,925,3309,5016,0,0,10967,9535,16,0,70,94,Public,2019-2020,7609,12018,20432,22330,6421,10580,17474,20209
Region XII - Soccsksargen,724,2096,6315,10067,1462,1932,1389,1731,0,0,12341,8335,82,72,119,155,777,2084,4999,7893,1337,1552,1605,2093,0,0,10891,7685,84,49,108,135,Public,2019-2020,9890,15826,22432,24388,8718,13622,19801,21491
CARAGA - CARAGA,604,1278,1745,2559,1184,1633,4097,4987,0,0,8998,6295,37,23,78,86,556,1252,1489,2164,980,1315,3502,4498,0,0,7841,5543,41,19,40,37,Public,2019-2020,7630,10457,16743,16861,6527,9229,14449,14828
